HIP,Sampled,Predicted,Prob
12114,10.0,7.0,0.7
2909,10.0,7.0,0.7
21482,10.0,7.0,0.7
80382,10.0,7.0,0.7
6497,10.0,7.0,0.7
35902,10.0,7.0,0.7
80910,10.0,7.0,0.7
80936,10.0,7.0,0.7
96950,10.0,7.0,0.7
97326,10.0,7.0,0.7
23835,10.0,7.0,0.7
24130,10.0,7.0,0.7
24210,10.0,7.0,0.7
24479,10.0,7.0,0.7
95830,10.0,7.0,0.7
96501,10.0,7.0,0.7
94982,10.0,7.0,0.7
21327,10.0,7.0,0.7
58318,10.0,7.0,0.7
50075,10.0,7.0,0.7
20826,10.0,7.0,0.7
102018,10.0,7.0,0.7
12411,10.0,7.0,0.7
12764,10.0,7.0,0.7
10868,10.0,7.0,0.7
79127,10.0,7.0,0.7
79186,10.0,7.0,0.7
104101,10.0,7.0,0.7
104239,10.0,7.0,0.7
20815,10.0,7.0,0.7
19934,10.0,7.0,0.7
19983,10.0,7.0,0.7
20890,10.0,7.0,0.7
33061,10.0,7.0,0.7
33086,10.0,7.0,0.7
33139,10.0,7.0,0.7
95501,10.0,7.0,0.7
50904,10.0,7.0,0.7
57858,10.0,7.0,0.7
36515,10.0,7.0,0.7
65583,10.0,7.0,0.7
58656,10.0,7.0,0.7
58983,10.0,7.0,0.7
59280,10.0,7.0,0.7
59448,10.0,7.0,0.7
97977,10.0,7.0,0.7
98138,10.0,7.0,0.7
117615,10.0,7.0,0.7
57,10.0,7.0,0.7
5862,10.0,7.0,0.7
9367,10.0,7.0,0.7
60729,10.0,7.0,0.7
60353,10.0,7.0,0.7
103963,10.0,7.0,0.7
78425,10.0,7.0,0.7
77772,10.0,7.0,0.7
7320,10.0,7.0,0.7
105668,10.0,7.0,0.7
19641,10.0,7.0,0.7
66147,10.0,7.0,0.7
48423,10.0,7.0,0.7
77408,10.0,7.0,0.7
57366,10.0,7.0,0.7
60870,10.0,7.0,0.7
48468,10.0,7.0,0.7
92895,10.0,7.0,0.7
67388,10.0,7.0,0.7
67890,10.0,7.0,0.7
67422,10.0,7.0,0.7
37606,10.0,7.0,0.7
37645,10.0,7.0,0.7
6744,10.0,7.0,0.7
75513,10.0,7.0,0.7
32892,10.0,7.0,0.7
32984,10.0,7.0,0.7
84827,10.0,7.0,0.7
43410,10.0,7.0,0.7
94751,10.0,7.0,0.7
25918,10.0,7.0,0.7
57587,10.0,7.0,0.7
19911,10.0,7.0,0.7
57001,10.0,7.0,0.7
92270,10.0,7.0,0.7
74550,10.0,7.0,0.7
51949,10.0,7.0,0.7
74605,10.0,7.0,0.7
74842,10.0,7.0,0.7
19024,10.0,7.0,0.7
57148,10.0,7.0,0.7
1599,10.0,7.0,0.7
1954,10.0,7.0,0.7
108473,10.0,7.0,0.7
52676,10.0,7.0,0.7
71181,10.0,7.0,0.7
10505,10.0,7.0,0.7
72388,10.0,7.0,0.7
