HIP,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk,Exo,Multi,discoverymethod,MaxPMass,StarMass
97105,0.07,,,,0.03,0.26,0.11,0.06,0.15,0.19,0.09,0.05,0.1,-0.01,0.21,0.06,0.43,28.539,-58.466,3.988,thin ,0.0,0.0,None,0.0,0.0
97118,-0.01,-2.96,-0.23,-0.18,0.17,0.01,0.1,0.13,0.06,0.04,0.0,-0.12,0.02,-0.14,0.07,0.0,0.04,31.662,-64.719,54.995,thin ,0.0,0.0,None,0.0,0.0
97125,0.42,,0.38,0.48,0.41,0.4,0.39,0.36,0.41,,0.36,0.46,0.46,0.46,,0.39,,33.294,-67.965,-38.477,N/A ,0.0,0.0,None,0.0,0.0
97144,0.08,-2.93,-0.21,-0.02,0.2,0.08,0.19,0.16,0.15,0.09,0.09,-0.04,0.14,0.02,0.08,0.05,0.11,56.108,-114.168,19.526,thin ,0.0,0.0,None,0.0,0.0
97156,-0.01,,0.2,0.45,0.03,0.02,0.07,0.02,0.04,0.27,0.18,0.47,0.04,-0.11,0.12,0.01,,8.094,-16.435,-23.734,N/A ,0.0,0.0,None,0.0,0.0
97219,0.37,,,,0.35,,0.26,0.08,0.3,0.52,0.38,0.18,0.28,0.17,0.33,0.25,-0.25,12.236,-24.675,33.738,thin ,0.0,0.0,None,0.0,0.0
97223,0.08,-3.78,,,,0.0,,0.32,,,-0.07,,,,,,,8.053,-16.225,10.462,thin ,0.0,0.0,None,0.0,0.0
97233,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Radial Velocity,22.6,1.74
97255,0.08,,0.01,-0.01,-0.05,0.18,0.1,0.06,0.06,0.11,0.13,-0.02,0.15,-0.03,-0.04,0.04,0.53,12.992,-26.071,2.164,thin ,0.0,0.0,None,0.0,0.0
97283,-0.36,,-0.3,-0.16,-0.39,-0.27,-0.37,-0.26,-0.25,-0.17,-0.33,-0.27,-0.32,-0.58,-0.24,-0.28,,23.253,-46.489,279.376,thin ,0.0,0.0,None,0.0,0.0
97293,-0.28,,-0.31,-0.37,-0.45,-0.12,-0.3,-0.12,-0.34,-0.15,-0.4,-0.38,-0.08,-0.59,-0.36,-0.44,-0.07,115.972,-231.562,361.815,thin ,0.0,0.0,None,0.0,0.0
97295,0.03,-1.12,-0.12,0.03,-0.12,0.04,-0.07,-0.01,0.12,0.06,0.12,0.12,0.01,-0.48,0.2,-0.04,0.11,7.812,-15.596,11.646,thin ,0.0,0.0,None,0.0,0.0
97304,-0.23,,-0.09,0.13,-0.06,0.19,-0.01,0.09,-0.12,0.18,0.04,0.12,0.03,-0.18,0.07,-0.07,,70.082,-139.728,186.361,thin ,0.0,0.0,None,0.0,0.0
97312,-0.04,,0.08,0.08,0.02,0.06,0.05,-0.01,0.01,0.13,-0.04,-0.06,-0.03,-0.11,-0.01,-0.06,0.05,32.329,-64.417,8.921,thin ,0.0,0.0,None,0.0,0.0
97316,-0.19,-0.3,-0.39,0.0,-0.44,-0.2,-0.32,-0.22,-0.06,,-0.05,-0.07,-0.16,-0.55,-0.21,-0.3,-0.16,42.02,-83.703,115.743,N/A ,0.0,0.0,None,0.0,0.0
97326,-0.2,,0.33,0.1,0.31,-0.12,-0.02,0.02,-0.01,0.15,0.04,-0.06,-0.38,-0.25,0.32,-0.22,0.3,23.947,-47.642,134.937,thin ,0.0,0.0,None,0.0,0.0
97332,-0.02,,-0.2,-0.08,-0.25,-0.12,-0.24,-0.13,-0.07,0.0,-0.14,-0.08,-0.13,-0.35,-0.11,-0.13,-0.11,26.846,-53.318,188.921,thin ,0.0,0.0,None,0.0,0.0
97336,0.15,-2.41,0.16,0.02,0.09,0.17,0.07,0.09,0.12,0.22,0.13,0.08,0.1,0.08,0.18,0.13,0.09,17.058,-33.853,25.975,thin ,1.0,2.0,Radial Velocity,0.52,1.0
97358,0.01,,-0.2,-0.09,-0.21,0.05,-0.12,-0.06,0.03,-0.01,-0.01,-0.12,0.01,-0.22,-0.06,-0.04,0.11,13.007,-25.72,-9.782,thin ,0.0,0.0,None,0.0,0.0
97370,0.1,,0.03,-0.2,0.03,0.01,-0.05,0.09,0.07,,0.09,0.07,0.06,,-0.01,0.08,,11.553,-22.817,-24.138,thin ,0.0,0.0,None,0.0,0.0
97382,-0.42,,,,-0.31,-0.22,-0.4,-0.31,-0.16,-0.14,-0.28,-0.22,-0.28,-0.56,-0.24,-0.28,,61.691,-121.723,209.422,thin ,0.0,0.0,None,0.0,0.0
97399,-0.24,,,,-0.24,-0.12,-0.3,-0.19,-0.14,0.09,-0.16,-0.07,-0.07,-0.26,-0.15,-0.09,-0.23,11.138,-21.913,50.089,thin ,0.0,0.0,None,0.0,0.0
97402,-0.08,-2.59,-0.16,0.09,0.01,-0.03,0.14,0.06,0.07,0.12,0.09,0.01,0.06,-0.02,0.05,0.01,0.12,46.689,-91.821,48.877,thin ,0.0,0.0,None,0.0,0.0
97420,0.09,-1.06,-0.06,-0.02,-0.12,0.03,-0.05,0.01,0.1,,0.09,0.03,0.04,-0.09,-0.14,0.04,0.1,10.233,-20.081,11.918,thin ,0.0,0.0,None,0.0,0.0
97433,-0.32,-3.12,-0.54,-0.3,-0.19,-0.25,-0.24,-0.24,-0.35,-0.28,-0.34,-0.36,-0.39,-0.61,-0.24,-0.38,-0.43,7.216,-14.135,44.247,thin ,0.0,0.0,None,0.0,0.0
97438,0.06,,-0.15,-0.05,-0.21,-0.08,-0.28,-0.04,-0.05,0.07,-0.14,-0.06,-0.08,-0.29,-0.13,-0.13,,6.346,-12.42,23.605,thin ,0.0,0.0,None,0.0,0.0
97499,0.15,-3.39,-0.01,-0.06,0.31,0.39,0.35,0.36,0.19,0.19,0.17,0.24,0.28,0.27,0.38,0.24,0.22,40.99,-79.557,-17.187,thin ,0.0,0.0,None,0.0,0.0
97507,0.01,,0.01,,0.0,0.0,0.0,0.0,0.03,0.07,0.08,0.02,-0.02,-0.12,0.05,-0.01,,8.794,-17.055,-53.264,thin ,0.0,0.0,None,0.0,0.0
97517,-0.17,,,,-0.08,-0.07,-0.23,-0.16,-0.01,0.12,-0.08,-0.02,-0.05,-0.21,-0.09,-0.02,,11.481,-22.244,39.156,thin ,0.0,0.0,None,0.0,0.0
97527,-0.06,-0.49,-0.07,-0.08,-0.24,-0.09,-0.27,-0.09,-0.05,,-0.07,-0.08,-0.1,-0.36,,-0.14,0.0,18.032,-34.898,34.854,thin ,0.0,0.0,None,0.0,0.0
97536,-0.18,,0.01,0.06,-0.48,-0.19,-0.31,-0.27,-0.22,-0.11,-0.26,-0.27,-0.38,-0.66,-0.28,-0.34,-0.47,53.471,-103.342,230.384,thin ,0.0,0.0,None,0.0,0.0
97542,-0.31,,-0.22,-0.01,-0.29,-0.18,-0.29,-0.23,-0.17,-0.1,-0.25,-0.19,-0.22,-0.49,,-0.21,,15.962,-30.821,262.051,N/A ,0.0,0.0,None,0.0,0.0
97546,0.13,-0.66,0.08,0.01,0.12,0.11,0.02,0.1,0.16,0.12,0.11,-0.1,0.02,0.0,-0.04,0.09,,16.582,-32.001,-27.938,thin ,1.0,1.0,Radial Velocity,0.836,1.19
97557,0.14,,0.13,,0.08,0.08,0.12,0.14,0.13,,0.19,0.15,0.16,,0.1,0.14,,17.412,-33.543,-24.323,thin ,0.0,0.0,None,0.0,0.0
